GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0042500401,89,1629013,Landry Shamet,1610612752,New York Knicks,1,5,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-225,126,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,91,1626157,Karl-Anthony Towns,1610612752,New York Knicks,1,5,4,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,95,1628973,Jalen Brunson,1610612752,New York Knicks,1,4,44,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,103,132,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,121,1628973,Jalen Brunson,1610612752,New York Knicks,1,3,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,113,245,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,125,1629013,Landry Shamet,1610612752,New York Knicks,1,3,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,3,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,129,1628973,Jalen Brunson,1610612752,New York Knicks,1,2,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,252,1629011,Mitchell Robinson,1610612752,New York Knicks,2,7,26,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,8,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,267,203903,Jordan Clarkson,1610612752,New York Knicks,2,7,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-213,145,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,273,1628973,Jalen Brunson,1610612752,New York Knicks,2,6,33,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-28,10,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,275,1629011,Mitchell Robinson,1610612752,New York Knicks,2,6,32,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,279,1628973,Jalen Brunson,1610612752,New York Knicks,2,6,3,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,283,1628973,Jalen Brunson,1610612752,New York Knicks,2,5,37,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,21,79,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,285,1628973,Jalen Brunson,1610612752,New York Knicks,2,5,35,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20260603,SAS,NYK
