GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0042500401,7,1628973,Jalen Brunson,1610612752,New York Knicks,1,11,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,5,260,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,10,1628973,Jalen Brunson,1610612752,New York Knicks,1,10,57,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,66,35,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,12,1628384,OG Anunoby,1610612752,New York Knicks,1,10,53,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,4,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,20,1626157,Karl-Anthony Towns,1610612752,New York Knicks,1,10,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-77,267,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,24,1628384,OG Anunoby,1610612752,New York Knicks,1,10,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,13,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,31,1628969,Mikal Bridges,1610612752,New York Knicks,1,9,29,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,92,98,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,36,1628404,Josh Hart,1610612752,New York Knicks,1,8,56,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,40,1628404,Josh Hart,1610612752,New York Knicks,1,8,29,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,11,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,45,1628973,Jalen Brunson,1610612752,New York Knicks,1,7,52,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,144,202,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,51,1626157,Karl-Anthony Towns,1610612752,New York Knicks,1,7,28,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,34,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,59,1626157,Karl-Anthony Towns,1610612752,New York Knicks,1,6,59,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,10,1,1,20260603,SAS,NYK
Shot Chart Detail,0042500401,67,1626157,Karl-Anthony Towns,1610612752,New York Knicks,1,6,20,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,21,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,75,1628404,Josh Hart,1610612752,New York Knicks,1,5,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-76,252,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,140,1628973,Jalen Brunson,1610612752,New York Knicks,1,2,19,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,113,56,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,150,1630540,Miles McBride,1610612752,New York Knicks,1,1,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,7,263,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,163,1630540,Miles McBride,1610612752,New York Knicks,1,1,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-217,146,1,0,20260603,SAS,NYK
Shot Chart Detail,0042500401,165,1628969,Mikal Bridges,1610612752,New York Knicks,1,1,15,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20260603,SAS,NYK
